Year,Name,Nameco,lg,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
2015,Jose Altuve,altuvjo01,AL,HOU,44,0,10%,4.8,154,638,86,200,15,66,38,33,0.313,0.353,0.459,0.812
2015,Miguel Cabrera,cabremi01,AL,DET,40,0,10%,5.2,119,429,64,145,18,76,1,77,0.338,0.44,0.534,0.974
2015,Edwin Encarnacion,encared01,AL,TOR,38,0,9%,4.5,146,528,94,146,39,111,3,77,0.277,0.372,0.557,0.929
2015,Prince Fielder,fieldpr01,AL,TEX,33,0,8%,1.8,158,613,78,187,23,98,0,64,0.305,0.378,0.463,0.841
2015,Chris Davis,davisch02,AL,BAL,32,0,8%,5.3,160,573,100,150,47,117,2,84,0.262,0.361,0.562,0.923
2015,J.D. Martinez,martijd02,AL,DET,18,0,4%,5,158,596,93,168,38,102,3,53,0.282,0.344,0.535,0.879
2015,Jason Kipnis,kipnija01,AL,CLE,17,0,4%,4.6,141,565,86,171,9,52,12,57,0.303,0.372,0.451,0.823
2015,Kevin Kiermaier,kiermke01,AL,TBR,10,0,2%,7.5,151,505,62,133,10,40,18,24,0.263,0.298,0.42,0.718
2015,Kendrys Morales,moralke01,AL,KCR,7,0,2%,2.4,158,569,81,165,22,106,0,58,0.29,0.362,0.485,0.847
2015,Mookie Betts,bettsmo01,AL,BOS,4,0,1%,5.9,145,597,92,174,18,77,21,46,0.291,0.341,0.479,0.82
2015,Jose Abreu,abreujo02,AL,CHW,3,0,1%,3.8,154,613,88,178,30,101,0,39,0.29,0.347,0.502,0.85
2015,Ian Kinsler,kinslia01,AL,DET,3,0,1%,5.9,154,624,94,185,11,73,10,43,0.296,0.342,0.428,0.77
2015,Mike Moustakas,moustmi01,AL,KCR,3,0,1%,4.4,147,549,73,156,22,82,1,43,0.284,0.348,0.47,0.817
2015,Carlos Correa,correca01,AL,HOU,2,0,0%,4.3,99,387,52,108,22,68,14,40,0.279,0.345,0.512,0.857
2015,Eric Hosmer,hosmeer01,AL,KCR,2,0,0%,3.6,158,599,98,178,18,93,7,61,0.297,0.363,0.459,0.822
2015,Russell Martin,martiru01,AL,TOR,2,0,0%,3,129,441,76,106,23,77,4,53,0.24,0.329,0.458,0.787
2015,Brian McCann,mccanbr01,AL,NYY,2,0,0%,2.6,135,465,68,108,26,94,0,52,0.232,0.32,0.437,0.756
2015,Michael Brantley,brantmi02,AL,CLE,1,0,0%,3.4,137,529,68,164,15,84,15,60,0.31,0.379,0.48,0.859
2015,Brian Dozier,doziebr01,AL,MIN,1,0,0%,2.6,157,628,101,148,28,77,12,61,0.236,0.307,0.444,0.751
2015,David Ortiz,ortizda01,AL,BOS,1,0,0%,3.1,146,528,73,144,37,108,0,77,0.273,0.36,0.553,0.913
2015,Alex Rodriguez,rodrial01,AL,NYY,1,0,0%,2.9,151,523,83,131,33,86,4,84,0.25,0.356,0.486,0.842
2015,Mark Teixeira,teixema01,AL,NYY,1,0,0%,3.7,111,392,57,100,31,79,2,59,0.255,0.357,0.548,0.906
2014,Mike Trout,troutmi01,AL,LAA,420,30,100%,7.6,157,602,115,173,36,111,16,83,0.287,0.377,0.561,0.939
2014,Victor Martinez,martivi01,AL,DET,229,0,55%,5.5,151,561,87,188,32,103,3,70,0.335,0.409,0.565,0.974
2014,Michael Brantley,brantmi02,AL,CLE,191,0,45%,6.7,156,611,94,200,20,97,23,52,0.327,0.385,0.506,0.89
2014,Jose Abreu,abreujo02,AL,CHW,145,0,35%,5.8,145,556,80,176,36,107,3,51,0.317,0.383,0.581,0.964
2014,Robinson Cano,canoro01,AL,SEA,124,0,30%,6.4,157,595,77,187,14,82,10,61,0.314,0.382,0.454,0.836
2014,Jose Bautista,bautijo02,AL,TOR,122,0,29%,6.7,155,553,101,158,35,103,6,104,0.286,0.403,0.524,0.928
2014,Nelson Cruz,cruzne02,AL,BAL,102,0,24%,4.6,159,613,87,166,40,108,4,55,0.271,0.333,0.525,0.859
2014,Josh Donaldson,donaljo02,AL,OAK,96,0,23%,7.5,158,608,93,155,29,98,8,76,0.255,0.342,0.456,0.798
2014,Miguel Cabrera,cabremi01,AL,DET,82,0,20%,5.1,159,611,101,191,25,109,1,60,0.313,0.371,0.524,0.895
2014,Alex Gordon,gordoal01,AL,KCR,44,0,10%,6.5,156,563,87,150,19,74,12,65,0.266,0.351,0.432,0.783
2014,Jose Altuve,altuvjo01,AL,HOU,41,0,10%,6.1,158,660,85,225,7,59,56,36,0.341,0.377,0.453,0.83
2014,Adam Jones,jonesad01,AL,BAL,34,0,8%,4.8,159,644,88,181,29,96,7,19,0.281,0.311,0.469,0.78
2014,Adrian Beltre,beltrad01,AL,TEX,22,0,5%,6.7,148,549,79,178,19,77,1,57,0.324,0.388,0.492,0.879
2014,Albert Pujols,pujolal01,AL,LAA,5,0,1%,4,159,633,89,172,28,105,5,48,0.272,0.324,0.466,0.79
2014,Howie Kendrick,kendrho01,AL,LAA,3,0,1%,5.4,157,617,85,181,7,75,14,48,0.293,0.347,0.397,0.744
2014,Kyle Seager,seageky01,AL,SEA,1,0,0%,5.8,159,590,71,158,25,96,7,52,0.268,0.334,0.454,0.788
2013,Miguel Cabrera,cabremi01,AL,DET,385,23,92%,7.3,148,555,103,193,44,137,3,90,0.348,0.442,0.636,1.078
2013,Mike Trout,troutmi01,AL,LAA,282,5,67%,9,157,589,109,190,27,97,33,110,0.323,0.432,0.557,0.988
2013,Chris Davis,davisch02,AL,BAL,232,1,55%,6.5,160,584,103,167,53,138,4,72,0.286,0.37,0.634,1.004
2013,Josh Donaldson,donaljo02,AL,OAK,222,1,53%,7.7,158,579,89,174,24,93,5,76,0.301,0.384,0.499,0.883
2013,Robinson Cano,canoro01,AL,NYY,150,0,36%,7.8,160,605,81,190,27,107,7,65,0.314,0.383,0.516,0.899
2013,Evan Longoria,longoev01,AL,TBR,103,0,25%,6.2,160,614,91,165,32,88,1,70,0.269,0.343,0.498,0.842
2013,Adrian Beltre,beltrad01,AL,TEX,99,0,24%,5.6,161,631,88,199,30,92,1,50,0.315,0.371,0.509,0.88
2013,Dustin Pedroia,pedrodu01,AL,BOS,99,0,24%,6.3,160,641,91,193,9,84,17,73,0.301,0.372,0.415,0.787
2013,Manny Machado,machama01,AL,BAL,57,0,14%,6.7,156,667,88,189,14,71,6,29,0.283,0.314,0.432,0.746
2013,David Ortiz,ortizda01,AL,BOS,47,0,11%,4.4,137,518,84,160,30,103,4,76,0.309,0.395,0.564,0.959
2013,Jason Kipnis,kipnija01,AL,CLE,31,0,7%,5.7,149,564,86,160,17,84,30,76,0.284,0.366,0.452,0.818
2013,Adam Jones,jonesad01,AL,BAL,9,0,2%,4.7,160,653,100,186,33,108,14,25,0.285,0.318,0.493,0.811
2013,Edwin Encarnacion,encared01,AL,TOR,7,0,2%,4,142,530,90,144,36,104,7,82,0.272,0.37,0.534,0.904
2013,Coco Crisp,crispco01,AL,OAK,3,0,1%,3.8,131,513,93,134,22,66,21,61,0.261,0.335,0.444,0.779
2013,Jacoby Ellsbury,ellsbja01,AL,BOS,3,0,1%,5.7,134,577,92,172,9,53,52,47,0.298,0.355,0.426,0.781
2013,Carlos Santana,santaca01,AL,CLE,3,0,1%,4.3,154,541,75,145,20,74,3,93,0.268,0.377,0.455,0.832
2013,Torii Hunter,hunteto01,AL,DET,2,0,0%,2.2,144,606,90,184,17,84,3,26,0.304,0.334,0.465,0.8
2013,Salvador Perez,perezsa02,AL,KCR,1,0,0%,4.2,138,496,48,145,13,79,0,21,0.292,0.323,0.433,0.757
2013,Shane Victorino,victosh01,AL,BOS,1,0,0%,6.1,122,477,82,140,15,61,21,25,0.294,0.351,0.451,0.801
2012,Miguel Cabrera,cabremi01,AL,DET,362,22,92%,7.1,161,622,109,205,44,139,4,66,0.33,0.393,0.606,0.999
2012,Mike Trout,troutmi01,AL,LAA,281,6,72%,10.5,139,559,129,182,30,83,49,67,0.326,0.399,0.564,0.963
2012,Adrian Beltre,beltrad01,AL,TEX,210,0,54%,7.2,156,604,95,194,36,102,1,36,0.321,0.359,0.561,0.921
2012,Robinson Cano,canoro01,AL,NYY,149,0,38%,8.4,161,627,105,196,33,94,3,61,0.313,0.379,0.55,0.929
2012,Josh Hamilton,hamiljo03,AL,TEX,127,0,32%,4,148,562,103,160,43,128,7,60,0.285,0.354,0.577,0.93
2012,Adam Jones,jonesad01,AL,BAL,120,0,31%,4.1,162,648,103,186,32,82,16,34,0.287,0.334,0.505,0.839
2012,Derek Jeter,jeterde01,AL,NYY,77,0,20%,2.2,159,683,99,216,15,58,9,45,0.316,0.362,0.429,0.791
2012,Prince Fielder,fieldpr01,AL,DET,56,0,14%,4.7,162,581,83,182,30,108,1,85,0.313,0.412,0.528,0.94
2012,Yoenis Cespedes,cespeyo01,AL,OAK,41,0,10%,4,129,487,70,142,23,82,16,43,0.292,0.356,0.505,0.861
2012,Edwin Encarnacion,encared01,AL,TOR,33,0,8%,5,151,542,93,152,42,110,13,84,0.28,0.384,0.557,0.941
2012,Alex Rios,riosal01,AL,CHW,17,0,4%,4.8,157,605,93,184,25,91,23,26,0.304,0.334,0.516,0.85
2012,Josh Reddick,reddijo01,AL,OAK,14,0,4%,4.6,156,611,85,148,32,85,11,55,0.242,0.305,0.463,0.768
2012,Albert Pujols,pujolal01,AL,LAA,8,0,2%,4.8,154,607,85,173,30,105,8,52,0.285,0.343,0.516,0.859
2012,Ben Zobrist,zobribe01,AL,TBR,7,0,2%,5.8,157,560,88,151,20,74,14,97,0.27,0.377,0.471,0.848
2012,Joe Mauer,mauerjo01,AL,MIN,6,0,2%,4.4,147,545,81,174,10,85,8,90,0.319,0.416,0.446,0.861
2012,Matt Wieters,wietema01,AL,BAL,4,0,1%,4.1,144,526,67,131,23,83,3,60,0.249,0.329,0.435,0.764
2012,Raul Ibanez,ibanera01,AL,NYY,1,0,0%,0.5,130,384,50,92,19,62,3,35,0.24,0.308,0.453,0.761
2011,Jacoby Ellsbury,ellsbja01,AL,BOS,242,4,62%,8.3,158,660,119,212,32,105,39,52,0.321,0.376,0.552,0.928
2011,Jose Bautista,bautijo02,AL,TOR,231,5,59%,8.3,149,513,105,155,43,103,9,132,0.302,0.447,0.608,1.056
2011,Curtis Granderson,grandcu01,AL,NYY,215,3,55%,6.1,156,583,136,153,41,119,25,85,0.262,0.364,0.552,0.916
2011,Miguel Cabrera,cabremi01,AL,DET,193,2,49%,7.6,161,572,111,197,30,105,2,108,0.344,0.448,0.586,1.033
2011,Robinson Cano,canoro01,AL,NYY,112,0,29%,5.8,159,623,104,188,28,118,8,38,0.302,0.349,0.533,0.882
2011,Adrian Gonzalez,gonzaad01,AL,BOS,105,0,27%,6.9,159,630,108,213,27,117,1,74,0.338,0.41,0.548,0.957
2011,Michael Young,youngmi02,AL,TEX,96,1,24%,2.7,159,631,88,213,11,106,6,47,0.338,0.38,0.474,0.854
2011,Dustin Pedroia,pedrodu01,AL,BOS,48,0,12%,8,159,635,102,195,21,91,26,86,0.307,0.387,0.474,0.861
2011,Evan Longoria,longoev01,AL,TBR,27,0,7%,7.2,133,483,78,118,31,99,3,80,0.244,0.355,0.495,0.85
2011,Ian Kinsler,kinslia01,AL,TEX,25,0,6%,7,155,620,121,158,32,77,30,89,0.255,0.355,0.477,0.832
2011,Alex Avila,avilaal01,AL,DET,13,0,3%,5.1,141,464,63,137,19,82,3,73,0.295,0.389,0.506,0.895
2011,Paul Konerko,konerpa01,AL,CHW,11,0,3%,2.9,149,543,69,163,31,105,1,77,0.3,0.388,0.517,0.906
2011,Adrian Beltre,beltrad01,AL,TEX,9,0,2%,5.6,124,487,82,144,32,105,1,25,0.296,0.331,0.561,0.892
2011,Victor Martinez,martivi01,AL,DET,7,0,2%,3.2,145,540,76,178,12,103,1,46,0.33,0.38,0.47,0.85
2011,Ben Zobrist,zobribe01,AL,TBR,7,0,2%,7.6,156,588,99,158,20,91,19,77,0.269,0.353,0.469,0.822
2011,Mark Teixeira,teixema01,AL,NYY,5,0,1%,3.4,156,589,90,146,39,111,4,76,0.248,0.341,0.494,0.835
2011,Asdrubal Cabrera,cabreas01,AL,CLE,4,0,1%,4.7,151,604,87,165,25,92,17,44,0.273,0.332,0.46,0.792
2011,Alex Gordon,gordoal01,AL,KCR,3,0,1%,7.3,151,611,101,185,23,87,17,67,0.303,0.376,0.502,0.879
2011,Josh Hamilton,hamiljo03,AL,TEX,1,0,0%,3.8,121,487,80,145,25,94,8,39,0.298,0.346,0.536,0.882
2010,Josh Hamilton,hamiljo03,AL,TEX,358,22,91%,8.7,133,518,95,186,32,100,8,43,0.359,0.411,0.633,1.044
2010,Miguel Cabrera,cabremi01,AL,DET,262,5,67%,6.5,150,548,111,180,38,126,3,89,0.328,0.42,0.622,1.042
2010,Robinson Cano,canoro01,AL,NYY,229,0,58%,8.1,160,626,103,200,29,109,3,57,0.319,0.381,0.534,0.914
2010,Jose Bautista,bautijo02,AL,TOR,165,1,42%,7,161,569,109,148,54,124,9,100,0.26,0.378,0.617,0.995
2010,Paul Konerko,konerpa01,AL,CHW,130,0,33%,4.7,149,548,89,171,39,111,0,72,0.312,0.393,0.584,0.977
2010,Evan Longoria,longoev01,AL,TBR,100,0,26%,8.2,151,574,96,169,22,104,15,72,0.294,0.372,0.507,0.879
2010,Carl Crawford,crawfca02,AL,TBR,98,0,25%,7,154,600,110,184,19,90,47,46,0.307,0.356,0.495,0.851
2010,Joe Mauer,mauerjo01,AL,MIN,97,0,25%,5.9,137,510,88,167,9,75,1,65,0.327,0.402,0.469,0.871
2010,Adrian Beltre,beltrad01,AL,BOS,83,0,21%,7.8,154,589,84,189,28,102,2,40,0.321,0.365,0.553,0.919
2010,Delmon Young,youngde03,AL,MIN,44,0,11%,1.9,153,570,77,170,21,112,5,28,0.298,0.333,0.493,0.826
2010,Vladimir Guerrero,guerrvl01,AL,TEX,22,0,6%,1.8,152,593,83,178,29,115,4,35,0.3,0.345,0.496,0.841
2010,Shin-Soo Choo,choosh01,AL,CLE,9,0,2%,5.9,144,550,81,165,22,90,22,83,0.3,0.401,0.484,0.885
2010,Alex Rodriguez,rodrial01,AL,NYY,8,0,2%,4.2,137,522,74,141,30,125,4,59,0.27,0.341,0.506,0.847
2010,Ichiro Suzuki,suzukic01,AL,SEA,3,0,1%,3.7,162,680,74,214,6,43,42,45,0.315,0.359,0.394,0.754
2010,Jim Thome,thomeji01,AL,MIN,2,0,1%,3.6,108,276,48,78,25,59,0,60,0.283,0.412,0.627,1.039
2010,Mark Teixeira,teixema01,AL,NYY,1,0,0%,4.1,158,601,113,154,33,108,0,93,0.256,0.365,0.481,0.846
2009,Joe Mauer,mauerjo01,AL,MIN,387,27,99%,7.8,138,523,94,191,28,96,4,76,0.365,0.444,0.587,1.031
2009,Mark Teixeira,teixema01,AL,NYY,225,0,57%,5.3,156,609,103,178,39,122,2,81,0.292,0.383,0.565,0.948
2009,Derek Jeter,jeterde01,AL,NYY,193,0,49%,6.6,153,634,107,212,18,66,30,72,0.334,0.406,0.465,0.871
2009,Miguel Cabrera,cabremi01,AL,DET,171,1,44%,5.1,160,611,96,198,34,103,6,68,0.324,0.396,0.547,0.942
2009,Kendrys Morales,moralke01,AL,LAA,170,0,43%,4.3,152,566,86,173,34,108,3,46,0.306,0.355,0.569,0.924
2009,Kevin Youkilis,youklke01,AL,BOS,150,0,38%,6.6,136,491,99,150,27,94,7,77,0.305,0.413,0.548,0.961
2009,Jason Bay,bayja01,AL,BOS,78,0,20%,5.2,151,531,103,142,36,119,13,94,0.267,0.384,0.537,0.921
2009,Ben Zobrist,zobribe01,AL,TBR,34,0,9%,8.6,152,501,91,149,27,91,17,91,0.297,0.405,0.543,0.948
2009,Ichiro Suzuki,suzukic01,AL,SEA,33,0,8%,4.7,146,639,88,225,11,46,26,32,0.352,0.386,0.465,0.851
2009,Chone Figgins,figgich01,AL,LAA,31,0,8%,7.7,158,615,114,183,5,54,42,101,0.298,0.395,0.393,0.789
2009,Alex Rodriguez,rodrial01,AL,NYY,31,0,8%,4.2,124,444,78,127,30,100,14,80,0.286,0.402,0.532,0.933
2009,Bobby Abreu,abreubo01,AL,LAA,23,0,6%,3.2,152,563,96,165,15,103,30,94,0.293,0.39,0.435,0.825
2009,Aaron Hill,hillaa01,AL,TOR,23,0,6%,5.8,158,682,103,195,36,108,6,42,0.286,0.33,0.499,0.829
2009,Adam Lind,lindad01,AL,TOR,14,0,4%,3.9,151,587,93,179,35,114,1,58,0.305,0.37,0.562,0.932
2009,Michael Young,youngmi02,AL,TEX,13,0,3%,2.8,135,541,76,174,22,68,8,47,0.322,0.374,0.518,0.892
2009,Robinson Cano,canoro01,AL,NYY,12,0,3%,4.5,161,637,103,204,25,85,5,30,0.32,0.352,0.52,0.871
2009,Evan Longoria,longoev01,AL,TBR,9,0,2%,7,157,584,100,164,33,113,9,72,0.281,0.364,0.526,0.889
2009,Michael Cuddyer,cuddymi01,AL,MIN,4,0,1%,2.8,153,588,93,162,32,94,6,54,0.276,0.342,0.52,0.862
2009,Victor Martinez,martivi01,AL,TOT,4,0,1%,3.6,155,588,88,178,23,108,1,75,0.303,0.381,0.48,0.861
2009,Jason Kubel,kubelja01,AL,MIN,3,0,1%,3.5,146,514,73,154,28,103,1,56,0.3,0.369,0.539,0.907
2009,Placido Polanco,polanpl01,AL,DET,2,0,1%,2.5,153,618,82,176,10,72,7,36,0.285,0.331,0.396,0.727
2009,Ian Kinsler,kinslia01,AL,TEX,1,0,0%,6,144,566,101,143,31,86,31,59,0.253,0.327,0.488,0.814
2008,Dustin Pedroia,pedrodu01,AL,BOS,317,16,81%,6.9,157,653,118,213,17,83,20,50,0.326,0.376,0.493,0.869
2008,Justin Morneau,morneju01,AL,MIN,257,7,66%,4.2,163,623,97,187,23,129,0,76,0.3,0.374,0.499,0.873
2008,Kevin Youkilis,youklke01,AL,BOS,201,2,51%,6.3,145,538,91,168,29,115,3,62,0.312,0.39,0.569,0.958
2008,Joe Mauer,mauerjo01,AL,MIN,188,2,48%,5.6,146,536,98,176,9,85,1,84,0.328,0.413,0.451,0.864
2008,Carlos Quentin,quentca01,AL,CHW,160,0,41%,5.3,130,480,96,138,36,100,7,66,0.288,0.394,0.571,0.965
2008,Josh Hamilton,hamiljo03,AL,TEX,112,0,29%,5.5,156,624,98,190,32,130,9,64,0.304,0.371,0.53,0.901
2008,Alex Rodriguez,rodrial01,AL,NYY,45,0,11%,6.8,138,510,104,154,35,103,18,65,0.302,0.392,0.573,0.965
2008,Carlos Pena,penaca01,AL,TBR,44,0,11%,5.1,139,490,76,121,31,102,1,96,0.247,0.377,0.494,0.871
2008,Grady Sizemore,sizemgr01,AL,CLE,42,0,11%,5.9,157,634,101,170,33,90,38,98,0.268,0.374,0.502,0.876
2008,Evan Longoria,longoev01,AL,TBR,38,0,10%,4.8,122,448,67,122,27,85,7,46,0.272,0.343,0.531,0.874
2008,Miguel Cabrera,cabremi01,AL,DET,17,0,4%,2.7,160,616,85,180,37,127,1,56,0.292,0.349,0.537,0.887
2008,Vladimir Guerrero,guerrvl01,AL,LAA,16,0,4%,2.4,143,541,85,164,27,91,5,51,0.303,0.365,0.521,0.886
2008,Jermaine Dye,dyeje01,AL,CHW,14,0,4%,2.8,154,590,96,172,34,96,3,44,0.292,0.344,0.541,0.885
2008,Aubrey Huff,huffau01,AL,BAL,12,0,3%,4.1,154,598,96,182,32,108,4,53,0.304,0.36,0.552,0.912
2008,Milton Bradley,bradlmi01,AL,TEX,9,0,2%,5.2,126,414,78,133,22,77,5,80,0.321,0.436,0.563,0.999
2008,Jason Bartlett,bartlja01,AL,TBR,6,0,2%,1.7,128,454,48,130,1,37,20,22,0.286,0.329,0.361,0.69
2008,Raul Ibanez,ibanera01,AL,SEA,1,0,0%,2.7,162,635,85,186,23,110,2,64,0.293,0.358,0.479,0.837
2008,Ian Kinsler,kinslia01,AL,TEX,1,0,0%,4.7,121,518,102,165,18,71,26,45,0.319,0.375,0.517,0.892
2008,Ichiro Suzuki,suzukic01,AL,SEA,1,0,0%,5.4,162,686,103,213,6,42,43,51,0.31,0.361,0.386,0.747
2008,Mark Teixeira,teixema01,AL,LAA,1,0,0%,3.7,54,193,39,69,13,43,2,32,0.358,0.449,0.632,1.081
2007,Alex Rodriguez,rodrial01,AL,NYY,382,26,97%,9.4,158,583,143,183,54,156,24,95,0.314,0.422,0.645,1.067
2007,Magglio Ordonez,ordonma01,AL,DET,258,2,66%,7.3,157,595,117,216,28,139,4,76,0.363,0.434,0.595,1.029
2007,Vladimir Guerrero,guerrvl01,AL,LAA,203,0,52%,4.6,150,574,89,186,27,125,2,71,0.324,0.403,0.547,0.95
2007,David Ortiz,ortizda01,AL,BOS,177,0,45%,6.4,149,549,116,182,35,117,3,111,0.332,0.445,0.621,1.066
2007,Mike Lowell,lowelmi01,AL,BOS,126,0,32%,5,154,589,79,191,21,120,3,53,0.324,0.378,0.501,0.879
2007,Jorge Posada,posadjo01,AL,NYY,112,0,29%,5.4,144,506,91,171,20,90,2,74,0.338,0.426,0.543,0.97
2007,Victor Martinez,martivi01,AL,CLE,103,0,26%,4.3,147,562,78,169,25,114,0,62,0.301,0.374,0.505,0.879
2007,Ichiro Suzuki,suzukic01,AL,SEA,89,0,23%,5.8,161,678,111,238,6,68,37,49,0.351,0.396,0.431,0.827
